GPA,SAT_Score,Extracurricular,Volunteer_Hours,Recommendation_Score,Interview_Score,Intended_Major,Legacy,First_Gen,Gender,Ethnicity,International,Income_Level,High_School_Rating,Admitted
2.18,1101.0,1,83.0,4.4,9.2,STEM,0,0,Male,Other,0,High,5.1,Yes
2.87,1106.0,0,51.0,1.4,4.8,SocialSci,1,0,Male,Asian,0,Low,7.4,No
2.86,1361.0,0,49.0,3.3,5.3,Arts,0,0,Male,Hispanic,0,Low,4.2,No
2.99,1232.0,0,40.0,3.6,2.4,STEM,0,0,Other,Black,0,Middle,1.5,No
2.85,1206.0,0,59.0,5.0,8.9,SocialSci,0,0,Male,Black,0,Low,2.3,Yes
2.62,1238.0,0,34.0,2.2,9.2,SocialSci,1,0,Male,Hispanic,0,High,6.1,No
2.85,1255.0,0,26.0,2.2,9.1,Arts,0,1,Female,White,0,Low,8.4,No
3.79,1150.0,1,39.0,3.7,5.4,Business,0,1,Male,Other,0,Middle,6.2,No
3.89,1058.0,1,98.0,3.0,1.0,Health,0,0,Male,Other,0,Low,6.6,Yes
3.0,1326.0,1,91.0,3.2,5.1,Business,0,0,Other,Hispanic,1,Low,7.0,Yes
3.25,1225.0,0,51.0,1.8,3.3,Health,0,0,Other,Hispanic,1,Middle,2.2,Yes
2.23,1283.0,1,42.0,2.2,1.1,Business,0,1,Female,Asian,0,Low,5.5,No
2.63,1108.0,0,63.0,4.6,3.3,Health,0,0,Female,White,0,Low,6.6,Yes
2.83,1234.0,1,56.0,1.9,4.2,Business,0,0,Female,Hispanic,0,Low,2.8,No
3.73,1006.0,0,21.0,4.7,5.0,Health,1,0,Female,Black,0,High,2.8,No
2.5,1119.0,0,63.0,4.1,7.2,Health,0,0,Male,Black,0,Middle,2.4,Yes
2.97,1183.0,1,66.0,1.4,1.6,SocialSci,0,0,Other,Black,0,Low,9.3,No
3.97,1190.0,0,45.0,4.6,9.8,STEM,1,1,Female,White,0,Middle,7.4,Yes
3.04,1331.0,1,24.0,5.0,8.3,Arts,0,0,Male,Black,0,Middle,6.6,No
3.23,1056.0,0,58.0,3.5,7.6,Business,0,0,Male,Black,0,High,9.5,Yes
2.24,1188.0,0,16.0,1.1,2.3,STEM,0,1,Female,Asian,0,Middle,7.9,No
3.65,1226.0,0,43.0,3.5,4.6,Arts,0,0,Other,White,0,High,1.7,No
3.21,1302.0,0,64.0,4.1,8.8,Business,0,0,Other,Hispanic,0,Low,2.5,Yes
3.09,1022.0,0,78.0,2.5,8.2,STEM,0,1,Female,Other,0,High,9.4,Yes
2.69,1253.0,1,19.0,4.1,5.2,Arts,0,1,Female,Hispanic,0,Low,2.6,No
2.61,1251.0,1,58.0,4.7,2.4,Health,1,0,Female,Asian,0,Low,8.9,Yes
2.83,977.0,1,90.0,1.7,3.7,STEM,0,0,Other,Black,0,Low,2.2,Yes
3.36,1305.0,0,50.0,3.2,2.5,STEM,0,0,Other,Black,0,Middle,4.7,Yes
3.75,1366.0,0,79.0,2.8,7.9,SocialSci,1,0,Male,Black,0,Low,7.2,Yes
3.02,1147.0,0,50.0,1.4,5.6,Business,0,0,Female,Black,0,High,9.9,No
3.34,1370.0,0,46.0,4.1,7.6,STEM,0,0,Male,Asian,0,Low,6.7,Yes
3.17,1219.0,1,26.0,4.7,5.0,Arts,0,1,Male,Hispanic,0,High,1.2,No
3.25,992.0,1,50.0,1.1,1.7,Arts,0,0,Male,Other,1,Low,2.3,No
3.35,1169.0,0,55.0,2.9,7.1,STEM,0,0,Female,Black,0,Middle,4.9,No
3.68,1265.0,1,42.0,4.4,1.8,Health,0,0,Other,Asian,0,Middle,6.4,No
2.17,1232.0,1,62.0,3.3,3.3,Business,0,1,Male,White,0,High,6.4,No
3.53,1317.0,1,35.0,2.0,3.5,Business,0,1,Other,Asian,0,Low,9.7,No
2.49,1188.0,1,41.0,1.7,7.9,Business,0,0,Other,White,0,High,4.4,No
2.39,1023.0,1,-3.0,2.1,8.8,SocialSci,1,1,Male,Hispanic,0,High,6.6,No
3.14,1324.0,0,63.0,3.1,3.9,Business,0,0,Other,Hispanic,0,High,9.8,No
2.19,1167.0,0,58.0,2.5,9.4,Arts,0,0,Other,Black,0,Low,6.3,Yes
3.77,1418.0,1,83.0,3.9,4.1,Arts,0,0,Other,Other,0,Low,9.5,Yes
3.25,1210.0,1,46.0,2.2,1.4,SocialSci,1,0,Male,Black,0,High,3.5,No
3.45,1261.0,1,38.0,4.5,5.1,Business,1,1,Male,Hispanic,0,Middle,4.5,No
2.03,1085.0,0,54.0,3.7,1.3,Business,0,1,Other,Black,0,High,5.8,No
3.19,957.0,1,68.0,3.6,3.9,STEM,0,0,Female,Black,0,High,1.1,Yes
3.11,1217.0,1,67.0,4.2,1.0,SocialSci,0,0,Female,White,0,Low,3.3,Yes
2.32,1214.0,1,96.0,3.0,6.7,SocialSci,1,0,Male,Asian,0,Middle,8.6,Yes
2.31,1181.0,1,29.0,4.5,4.2,Arts,0,1,Male,Other,0,High,6.3,No
3.39,1204.0,0,42.0,2.1,9.9,Arts,0,0,Female,Other,0,Middle,6.6,Yes
2.64,1251.0,0,18.0,4.1,1.2,Business,0,0,Female,Black,0,Middle,4.1,No
3.38,1206.0,1,42.0,1.5,2.3,SocialSci,0,0,Female,Black,0,High,7.1,No
3.11,1341.0,1,36.0,3.1,6.8,SocialSci,1,0,Other,White,0,High,3.8,Yes
2.78,1226.0,1,67.0,1.8,3.0,SocialSci,0,0,Other,Asian,0,Middle,9.9,Yes
3.85,1328.0,1,10.0,3.7,6.9,STEM,0,0,Other,Asian,0,High,9.7,No
3.68,1306.0,0,48.0,3.3,2.3,SocialSci,0,1,Female,Other,0,Low,6.1,Yes
2.71,1358.0,1,75.0,2.0,9.1,STEM,0,0,Female,Asian,0,High,6.8,Yes
2.09,1225.0,1,34.0,4.8,2.5,STEM,0,0,Other,White,0,High,6.3,No
2.61,1341.0,0,50.0,2.0,9.4,STEM,1,0,Other,White,0,High,5.2,Yes
2.8,1199.0,0,49.0,3.7,5.3,Health,0,0,Male,White,0,Low,8.5,No
3.41,1163.0,1,55.0,3.5,9.8,SocialSci,0,0,Female,White,0,Middle,6.6,Yes
3.99,1095.0,0,51.0,3.5,6.9,SocialSci,1,0,Other,Black,0,Middle,9.9,Yes
2.71,1109.0,0,80.0,1.9,4.1,Business,0,0,Other,Black,0,High,6.7,Yes
3.53,1014.0,1,23.0,4.8,8.0,STEM,1,0,Male,Asian,0,Low,5.2,No
3.19,1398.0,1,24.0,1.2,2.4,SocialSci,0,1,Male,Hispanic,0,Low,5.6,No
3.38,1258.0,0,11.0,1.9,1.6,SocialSci,0,1,Female,Black,0,Middle,3.3,No
2.3,1377.0,0,12.0,4.6,9.3,Business,0,1,Female,Hispanic,0,Low,6.3,No
2.8,1148.0,0,71.0,3.9,7.7,STEM,1,0,Female,White,0,Low,5.9,Yes
2.48,1072.0,0,60.0,4.5,8.9,Business,0,0,Other,Black,0,Low,2.9,Yes
2.69,1208.0,1,61.0,1.4,3.4,Health,0,0,Female,Other,0,High,4.4,Yes
3.03,1169.0,0,61.0,1.5,7.7,STEM,0,1,Other,Asian,0,Low,6.1,Yes
3.33,1312.0,0,66.0,2.8,3.1,STEM,0,0,Other,Other,0,Middle,9.8,Yes
2.21,1178.0,0,56.0,2.9,6.8,STEM,0,0,Female,Black,0,Low,3.3,Yes
2.26,1168.0,0,67.0,2.0,7.1,Business,0,0,Female,Other,1,High,8.0,Yes
2.64,1433.0,0,46.0,3.6,5.9,Health,0,1,Male,Hispanic,0,Middle,5.9,No
3.32,1018.0,1,43.0,3.0,2.2,SocialSci,0,0,Male,White,0,Middle,1.7,No
3.69,1171.0,0,43.0,1.6,3.3,Business,0,0,Female,Hispanic,0,Low,9.1,No
3.11,1269.0,1,90.0,3.6,1.2,STEM,0,0,Male,Black,0,Middle,6.2,Yes
3.71,1148.0,1,27.0,3.0,9.6,Business,0,0,Female,White,1,Low,8.9,No
2.77,1150.0,1,79.0,3.7,3.3,SocialSci,0,0,Male,Black,0,Middle,1.2,Yes
2.63,1329.0,0,38.0,4.2,6.8,Health,0,0,Male,Other,0,Middle,6.4,Yes
2.71,1415.0,1,32.0,1.2,9.9,STEM,0,0,Female,Asian,0,Middle,9.4,No
2.34,1302.0,0,88.0,2.8,9.9,Arts,0,0,Male,White,0,Low,9.8,Yes
3.66,1134.0,1,39.0,2.8,3.0,STEM,0,0,Other,Asian,0,Middle,7.6,No
2.68,1376.0,0,62.0,2.2,6.6,Business,0,1,Other,Black,0,High,4.4,Yes
3.1,1276.0,0,36.0,4.9,1.9,Health,0,0,Male,Hispanic,0,Middle,2.5,No
3.16,1258.0,0,55.0,1.4,2.1,STEM,0,1,Female,White,0,Low,2.6,No
3.04,1039.0,1,92.0,1.4,7.1,Arts,0,0,Male,Black,0,Middle,8.2,Yes
2.01,1161.0,0,51.0,4.9,9.8,Health,1,0,Other,Asian,0,Low,6.8,Yes
3.98,1314.0,1,67.0,4.7,5.0,Business,0,1,Female,White,0,Low,5.2,Yes
3.81,1168.0,0,73.0,1.2,4.8,Arts,0,0,Female,Black,0,High,1.9,Yes
2.42,1250.0,0,69.0,1.7,6.6,Business,0,0,Female,White,0,Low,2.6,Yes
2.58,1214.0,0,60.0,2.1,4.5,SocialSci,0,1,Male,Other,0,High,5.8,Yes
3.04,1240.0,1,40.0,3.4,5.9,Health,0,0,Female,Black,0,High,6.8,No
3.8,1173.0,1,71.0,3.2,7.7,Arts,0,0,Male,Black,0,High,9.3,Yes
3.97,1298.0,0,68.0,3.3,5.3,STEM,0,0,Female,White,0,Low,8.8,Yes
2.52,1374.0,0,40.0,1.5,4.1,Business,0,0,Other,Hispanic,0,Low,7.2,No
3.13,1044.0,1,33.0,2.6,9.7,Arts,1,0,Male,Other,0,Middle,6.8,No
3.61,1172.0,1,80.0,2.3,9.6,Business,1,0,Female,Asian,0,High,8.1,Yes
2.79,1274.0,1,25.0,4.6,5.6,Arts,0,1,Male,Other,0,High,3.5,No
3.46,1328.0,1,57.0,2.3,6.0,Business,0,0,Female,Other,0,Low,7.9,Yes
2.32,1125.0,0,64.0,3.1,5.6,Health,0,0,Other,White,0,Low,4.6,Yes
3.2,1217.0,0,58.0,2.0,9.1,Business,0,0,Male,White,0,Low,8.3,Yes
3.73,966.0,0,21.0,1.7,5.9,SocialSci,0,1,Other,White,0,High,1.2,No
3.97,1153.0,1,25.0,4.3,4.3,Health,0,0,Other,Asian,0,High,8.7,No
2.16,1403.0,0,78.0,4.0,9.5,SocialSci,1,1,Female,Asian,0,High,4.1,Yes
2.86,1199.0,1,47.0,1.2,2.3,Business,0,0,Female,White,0,Low,8.3,No
2.41,1005.0,1,35.0,1.6,3.7,STEM,0,1,Female,Hispanic,0,Middle,9.9,No
2.9,1290.0,0,68.0,2.8,8.0,Health,0,1,Female,Hispanic,0,Low,9.9,Yes
3.1,1191.0,1,70.0,1.3,1.9,Health,0,0,Male,Black,0,Middle,3.2,Yes
2.19,1255.0,0,38.0,3.1,9.5,Business,0,0,Other,Black,0,Middle,6.1,No
2.59,1239.0,0,74.0,2.8,8.0,Arts,0,0,Female,White,0,Middle,7.0,Yes
3.86,1223.0,1,42.0,2.7,4.7,STEM,0,1,Male,White,0,Middle,9.3,Yes
3.14,1119.0,0,12.0,1.0,8.3,Business,0,0,Female,Hispanic,1,Low,8.6,No
2.91,1038.0,1,62.0,2.4,2.8,SocialSci,0,0,Female,Other,0,Low,9.8,Yes
3.51,1209.0,0,56.0,4.5,2.6,STEM,0,1,Male,Asian,0,Low,8.7,No
3.48,1291.0,1,50.0,2.3,7.2,STEM,1,0,Female,Asian,0,Low,2.8,Yes
2.1,1118.0,1,45.0,1.1,9.7,Health,0,0,Male,Black,0,High,5.9,Yes
3.42,1123.0,0,30.0,4.5,4.9,Health,0,0,Male,Black,0,Low,1.5,No
3.68,1248.0,1,61.0,3.8,3.3,SocialSci,0,1,Female,Black,0,Low,8.2,Yes
2.33,1390.0,1,78.0,4.6,6.8,Business,0,0,Female,Hispanic,0,Low,7.3,Yes
3.56,1374.0,0,65.0,2.3,5.1,Business,0,0,Other,Other,1,Middle,5.9,Yes
2.57,1094.0,1,28.0,2.8,9.1,STEM,1,0,Other,Other,0,High,1.5,No
2.61,1263.0,1,93.0,2.9,1.3,STEM,0,0,Other,Hispanic,0,High,2.8,Yes
3.33,1218.0,1,76.0,3.2,8.1,Arts,1,1,Other,Hispanic,0,Low,3.2,Yes
2.22,1244.0,1,66.0,3.7,6.3,STEM,0,0,Other,Other,0,High,8.9,Yes
3.33,1191.0,1,66.0,2.7,6.5,Health,1,0,Other,Other,1,Low,1.8,Yes
3.78,1150.0,1,42.0,4.4,8.1,Arts,1,1,Male,Hispanic,0,High,6.3,Yes
3.39,1317.0,0,41.0,2.3,1.1,SocialSci,0,0,Female,Black,0,High,2.0,No
2.88,1107.0,1,52.0,4.0,4.6,SocialSci,0,0,Other,Asian,0,Low,4.3,No
2.88,1231.0,0,33.0,4.3,5.2,SocialSci,0,0,Female,Other,0,Middle,6.6,No
3.53,1367.0,0,45.0,3.0,3.1,SocialSci,0,0,Male,Hispanic,0,Low,3.2,No
3.13,1199.0,0,40.0,3.2,5.9,Business,0,0,Other,Hispanic,0,Middle,5.0,No
2.17,1260.0,1,47.0,3.5,2.5,Business,0,0,Male,Other,0,Middle,8.7,No
3.17,1324.0,1,45.0,3.1,5.6,SocialSci,0,1,Other,Asian,1,Low,8.1,No
3.63,1115.0,0,67.0,3.1,6.2,SocialSci,1,0,Male,White,0,High,4.5,Yes
2.67,1095.0,0,31.0,2.7,5.6,Business,0,0,Female,Hispanic,0,High,9.5,No
3.86,1111.0,0,71.0,2.9,7.3,Business,0,0,Male,White,0,Low,1.8,Yes
3.5,1405.0,0,28.0,1.3,2.0,Arts,1,0,Female,Black,0,High,8.9,No
3.15,1162.0,1,81.0,2.4,5.6,Health,0,0,Other,White,0,Low,7.9,Yes
3.5,1208.0,1,39.0,1.8,9.4,Health,0,0,Female,Asian,0,Low,5.1,Yes
2.16,1140.0,1,36.0,4.6,5.9,SocialSci,0,0,Male,Black,0,Low,1.2,No
3.72,1122.0,0,45.0,3.2,6.5,Health,0,0,Other,Black,0,Low,4.6,No
3.64,1158.0,0,37.0,3.3,3.5,Arts,0,1,Female,Other,0,High,3.1,No
3.82,1317.0,0,42.0,1.5,4.3,Health,0,0,Other,Asian,0,Middle,6.5,No
2.26,1232.0,0,15.0,4.0,4.4,Arts,0,0,Male,White,0,Middle,5.2,No
2.16,1252.0,1,39.0,2.6,5.4,Arts,0,0,Other,Asian,1,Middle,2.1,No
2.28,1158.0,1,74.0,3.5,1.5,SocialSci,0,1,Other,Black,0,Middle,5.0,Yes
2.8,1273.0,1,59.0,1.9,9.2,Business,0,0,Other,Asian,0,Middle,4.2,Yes
2.85,1239.0,1,29.0,4.9,4.3,STEM,0,0,Female,Hispanic,0,Middle,1.2,No
3.12,1066.0,0,46.0,1.3,1.8,Business,0,1,Male,Other,0,Low,3.4,No
2.24,1247.0,0,80.0,1.8,9.0,STEM,0,1,Female,Asian,0,Middle,6.9,Yes
2.4,1096.0,0,58.0,3.8,5.4,Arts,1,0,Male,Other,0,Middle,3.2,Yes
3.62,1295.0,0,35.0,3.7,3.9,STEM,1,0,Other,Other,0,High,4.1,No
2.94,1199.0,1,26.0,4.8,8.8,Business,0,1,Other,Asian,0,Middle,7.5,Yes
3.62,1110.0,0,31.0,2.7,3.1,Arts,0,1,Female,Black,0,Middle,9.0,No
2.01,1251.0,1,62.0,2.1,6.3,SocialSci,0,0,Male,Other,0,Middle,5.4,Yes
3.1,1106.0,0,38.0,3.0,2.9,SocialSci,0,0,Other,White,0,Low,5.8,No
3.86,1238.0,1,60.0,4.7,2.2,Health,0,0,Other,Asian,0,Low,7.7,Yes
3.16,1046.0,1,53.0,4.2,3.6,Business,0,1,Other,Hispanic,0,Middle,5.7,Yes
2.41,1226.0,0,60.0,2.2,7.9,Arts,0,0,Female,White,0,Middle,3.4,Yes
3.44,1246.0,1,53.0,3.4,6.7,Arts,0,0,Female,Hispanic,0,Low,6.8,Yes
2.76,1102.0,0,79.0,1.9,2.1,STEM,1,1,Male,Black,0,High,4.3,Yes
3.34,1101.0,0,70.0,2.1,6.4,Health,0,0,Male,Black,0,Middle,9.2,Yes
2.06,1110.0,0,21.0,4.6,8.6,Health,0,0,Other,Other,0,Middle,3.5,No
3.27,1083.0,1,46.0,2.0,7.4,Health,0,0,Female,White,0,Middle,4.7,Yes
2.06,1209.0,1,36.0,3.4,7.7,Business,0,0,Female,Hispanic,0,Middle,2.7,No
3.49,1147.0,1,41.0,1.6,6.9,Arts,0,0,Other,Hispanic,0,Low,4.3,Yes
2.95,1112.0,0,53.0,3.5,9.2,SocialSci,0,1,Female,Black,0,Middle,2.8,Yes
2.24,1217.0,0,69.0,1.2,6.9,STEM,0,0,Male,White,0,Low,3.0,Yes
3.09,1062.0,0,42.0,3.4,6.7,STEM,0,1,Female,Asian,1,High,2.1,No
2.13,1226.0,0,65.0,1.7,7.3,Business,0,1,Male,Asian,0,Low,1.2,Yes
3.31,1328.0,1,79.0,2.8,5.7,Arts,0,0,Female,Asian,0,High,7.1,Yes
3.99,1432.0,1,90.0,1.7,4.7,Health,0,0,Female,White,1,Low,9.4,Yes
3.54,1112.0,0,31.0,2.7,7.3,SocialSci,0,0,Male,White,0,Low,4.4,No
3.15,1112.0,0,17.0,3.9,6.8,SocialSci,0,0,Male,Black,1,Middle,4.4,No
2.21,1066.0,1,76.0,4.0,8.1,Health,0,0,Other,Asian,0,High,4.8,Yes
3.4,1368.0,0,64.0,4.6,1.2,SocialSci,1,1,Female,Black,0,Middle,7.5,Yes
3.32,1381.0,0,73.0,3.8,4.6,STEM,0,0,Male,Black,0,Low,8.8,Yes
2.1,1367.0,0,86.0,3.8,4.2,Health,0,0,Female,White,0,Low,8.6,Yes
3.58,1136.0,1,34.0,4.9,7.8,Business,0,0,Other,Black,0,Low,8.5,No
3.04,1373.0,0,37.0,1.6,7.8,Arts,0,0,Female,Asian,0,High,6.2,No
2.85,1176.0,0,18.0,1.7,5.0,STEM,0,1,Male,White,0,Low,4.2,No
3.58,1023.0,0,31.0,2.3,3.9,Arts,0,0,Other,Asian,0,High,5.5,No
2.82,1021.0,0,22.0,2.2,1.3,STEM,1,0,Other,White,0,High,9.8,No
2.96,1252.0,1,24.0,2.4,3.2,Arts,1,0,Male,Other,1,High,1.9,No
2.36,1053.0,1,44.0,1.6,6.1,Arts,0,0,Other,White,0,Low,2.9,No
2.64,1286.0,1,61.0,2.1,9.2,STEM,1,0,Male,Asian,0,High,9.3,Yes
3.69,1303.0,0,23.0,2.8,2.0,Business,0,1,Other,Other,0,Middle,4.3,No
2.37,1381.0,1,52.0,2.1,5.6,Business,0,1,Female,Asian,0,High,3.2,Yes
2.83,1154.0,0,13.0,3.8,7.1,Arts,0,0,Female,Asian,1,Low,7.5,No
3.98,1109.0,1,62.0,4.6,9.3,Arts,0,1,Male,Asian,0,High,1.4,Yes
2.47,1122.0,1,9.0,3.5,4.0,Health,1,1,Female,Hispanic,0,Low,2.9,No
3.83,1189.0,0,37.0,3.5,1.6,Health,0,1,Other,Asian,0,Middle,7.6,No
3.84,1134.0,0,48.0,3.4,4.9,Business,0,0,Male,Other,0,Low,2.6,No
2.18,1184.0,0,50.0,1.7,9.5,Business,0,0,Female,Other,0,Middle,1.7,Yes
2.93,1314.0,0,48.0,3.8,6.5,STEM,0,0,Other,Other,0,High,2.6,Yes
3.0,1181.0,0,64.0,1.2,6.2,STEM,0,0,Male,White,0,High,4.6,Yes
2.63,1112.0,0,67.0,2.1,9.1,STEM,1,1,Male,Other,0,Middle,10.0,Yes
2.09,1203.0,1,21.0,4.5,1.3,Business,0,0,Other,Hispanic,0,Low,1.9,No
2.48,1080.0,0,60.0,2.1,3.1,Business,0,0,Female,Other,0,Low,5.0,Yes
2.19,1197.0,1,48.0,3.2,1.8,SocialSci,0,0,Female,Asian,1,Middle,3.7,No
2.48,1331.0,0,64.0,3.7,5.2,SocialSci,0,0,Female,Hispanic,0,High,5.1,Yes
3.62,1130.0,0,40.0,1.7,9.1,SocialSci,0,0,Male,Black,0,High,5.8,Yes
3.79,1115.0,1,48.0,4.1,1.3,STEM,0,1,Female,Hispanic,0,Middle,7.7,No
2.09,1182.0,1,49.0,1.5,2.2,Health,0,1,Other,Asian,0,Middle,9.0,No
2.6,1412.0,0,22.0,1.1,3.6,STEM,0,0,Male,Hispanic,0,High,8.8,No
3.96,1197.0,1,45.0,1.1,9.6,SocialSci,0,0,Female,Black,0,Low,8.2,Yes
3.08,1076.0,0,47.0,3.1,8.5,Health,0,0,Female,Asian,0,Middle,3.5,Yes
3.25,1259.0,1,48.0,2.1,5.0,Arts,0,0,Other,Other,0,High,3.2,Yes
2.01,1260.0,1,40.0,1.8,6.6,STEM,0,0,Male,Asian,0,Middle,4.7,No
2.97,1346.0,0,65.0,1.8,2.3,STEM,0,1,Other,Hispanic,0,High,1.9,Yes
3.98,1230.0,0,77.0,1.1,2.3,Arts,0,1,Female,Hispanic,0,High,1.3,Yes
2.75,1078.0,0,53.0,4.4,5.4,Arts,1,1,Female,Black,0,High,2.1,No
2.19,1067.0,1,71.0,2.2,1.4,SocialSci,0,0,Female,White,0,Middle,1.3,Yes
2.92,1165.0,0,47.0,3.0,4.4,STEM,0,0,Male,Hispanic,0,Low,3.9,No
3.93,1327.0,1,51.0,3.0,5.2,Arts,0,0,Female,Black,1,Low,8.5,Yes
2.68,1115.0,1,51.0,4.6,2.8,Health,0,1,Other,Asian,0,Middle,7.7,No
3.6,1240.0,0,46.0,3.8,1.2,STEM,0,1,Male,White,0,Low,2.9,No
3.6,1142.0,1,37.0,2.9,5.9,Business,0,0,Other,Hispanic,0,Middle,3.4,No
2.42,1241.0,0,26.0,4.3,8.4,Health,0,0,Male,Asian,1,Middle,5.9,No
2.89,1346.0,0,41.0,1.6,2.0,Health,0,1,Other,Other,0,High,5.3,No
3.43,1224.0,0,72.0,2.2,5.2,SocialSci,1,0,Female,Hispanic,0,Middle,1.3,Yes
2.82,1138.0,1,25.0,1.5,9.2,Business,0,0,Male,Black,0,Low,9.9,No
2.38,1244.0,1,7.0,3.6,8.9,Health,1,0,Male,Hispanic,0,Middle,9.8,No
3.93,1421.0,0,48.0,3.2,8.7,Health,1,0,Female,Other,0,High,9.5,Yes
3.3,1159.0,0,21.0,1.5,8.8,Arts,0,1,Other,Asian,0,Low,3.1,No
3.73,1237.0,1,34.0,2.9,5.2,SocialSci,1,0,Female,Other,0,High,4.4,No
2.05,1297.0,1,55.0,3.6,7.0,Health,0,0,Female,Hispanic,0,Low,4.1,No
2.53,1300.0,0,38.0,4.8,9.0,Health,0,0,Female,Asian,0,Low,4.6,No
3.0,1276.0,0,19.0,3.2,9.9,SocialSci,0,0,Male,Hispanic,0,Middle,2.6,No
2.13,1238.0,0,63.0,4.4,7.2,Health,0,0,Female,Asian,0,High,1.5,Yes
3.99,1348.0,0,34.0,2.8,1.3,Arts,0,0,Male,Asian,0,Low,5.3,No
2.47,1319.0,0,77.0,2.7,8.4,SocialSci,0,0,Female,Other,0,Middle,8.9,Yes
2.75,1155.0,0,27.0,4.6,8.9,SocialSci,0,1,Female,Asian,0,Low,7.5,No
2.43,1245.0,0,60.0,3.7,8.3,SocialSci,1,1,Other,Black,0,High,6.8,Yes
2.21,1235.0,0,61.0,2.3,8.2,STEM,0,0,Female,Black,0,Low,7.9,Yes
2.46,1161.0,1,55.0,3.3,4.7,STEM,0,0,Other,White,0,Middle,7.3,Yes
2.6,1002.0,1,54.0,1.9,8.2,SocialSci,0,1,Female,White,0,Middle,2.9,No
3.27,1289.0,0,40.0,2.6,6.4,STEM,1,0,Other,White,1,Low,5.8,Yes
2.56,1152.0,1,37.0,1.8,4.0,STEM,1,1,Other,Black,0,Middle,5.2,No
2.72,1169.0,1,19.0,4.8,2.6,Business,0,0,Male,Black,0,High,2.8,No
2.01,1233.0,0,28.0,4.6,5.6,Health,0,1,Other,Black,0,High,1.3,No
2.73,1110.0,0,40.0,2.7,3.3,STEM,1,0,Other,Hispanic,0,Middle,5.3,No
3.07,1245.0,0,56.0,2.0,8.0,Arts,1,1,Female,Black,0,Low,3.2,Yes
2.32,1339.0,0,37.0,2.5,8.6,Arts,0,0,Female,Asian,0,High,7.7,No
3.19,1222.0,0,60.0,3.6,1.3,Health,1,0,Other,Hispanic,0,Low,2.8,No
2.59,1320.0,1,91.0,4.9,9.5,Health,0,0,Male,Asian,0,High,5.5,Yes
